epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6341399587070241,0.6291764705882353,0.6291035303195162,0.5706436871846516,0.708,0.7056791506013177
2,0.4875460944428163,0.7668705882352941,0.7668705551938337,0.40695003701845806,0.8130666666666667,0.8130666533736286
3,0.331397489603828,0.858635294117647,0.8586352828476018,0.39620052459239957,0.832,0.8298244638444155
4,0.24748696875572204,0.9014117647058824,0.9014117592477099,0.3366465707699458,0.8610666666666666,0.8610168452207472
5,0.18546994289238664,0.9276705882352941,0.9276705521957077,0.361378393582503,0.856,0.8554843579123634
6,0.12472271804248586,0.9545882352941176,0.9545882126667911,0.3718441426873207,0.8664,0.8660810801274588
7,0.0819047747523921,0.9712941176470589,0.9712941084929586,0.712442182970047,0.8208,0.81700542448206
8,0.0499728229447761,0.9831058823529412,0.9831058550791272,0.5865829403162003,0.8634666666666667,0.863373357349261
